GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24000","Maryland",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",287490.8,283143.6,293231.2,299286.6,306102.5,297959.6,304839.6,317635.3,327315.8,334346.1,339749.2,350410.7,360854.1,370760.9,360355.7,372536.0,382750.4
 "25000","Massachusetts",1,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",352917.3,353187.7,365640.2,374024.5,381763.3,383800.2,391038.3,413951.1,413469.3,429079.4,442384.9,458776.9,475970.3,507296.4,472833.0,490225.0,511156.2
 "26000","Michigan",3,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",417263.5,397555.8,404950.0,422784.4,431971.7,429232.4,439786.2,471589.9,480824.3,491723.9,492656.7,496915.8,539756.7,559092.6,537261.1,543524.1,543212.8
 "27000","Minnesota",4,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",261521.9,246802.2,256179.5,268107.3,277821.7,276215.2,283351.7,298255.6,303050.0,312652.6,313085.9,322728.2,343436.4,361668.8,352067.1,353202.1,359401.5
 "28000","Mississippi",5,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",115457.2,117564.9,116156.6,117314.8,119271.4,119318.9,119880.7,122202.8,122551.4,124678.7,127555.0,129997.5,140627.4,147853.8,136483.6,139851.5,142634.5
 "29000","Missouri",4,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",279120.5,269314.8,263509.6,269311.9,276127.1,273143.4,276962.3,289386.5,297015.5,299142.2,305993.4,311223.5,334013.0,350962.0,342753.5,353314.5,361302.7
 "30000","Montana",7,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",41434.1,40990.8,42689.0,43609.0,45963.4,45905.4,46483.3,48326.3,49191.9,51077.7,53509.4,54847.2,60668.1,65987.8,66620.8,68315.0,67328.1
 "31000","Nebraska",4,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",90689.5,88768.7,90363.6,99308.3,98981.8,97944.8,102340.1,106917.8,105101.3,106950.7,106994.1,109431.2,115341.2,125052.3,125633.1,130762.1,130950.5
 "32000","Nevada",8,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",113685.7,105966.9,110600.1,110424.7,113336.8,114039.4,120069.8,130615.4,136257.2,139375.9,151444.8,156090.3,168014.8,185275.0,178334.9,181933.9,184622.3
 "33000","New Hampshire",1,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",63626.7,63589.3,65811.1,67676.2,69282.0,68262.8,70315.8,72056.8,72986.8,74537.2,78095.3,81642.1,84778.4,92038.0,84127.9,87580.2,91069.1
 "34000","New Jersey",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",469074.7,442685.9,456510.9,463601.4,469740.9,469322.6,481627.2,500984.3,509825.8,519282.4,523536.7,544214.9,565204.2,595905.1,570773.8,583327.5,599900.8
 "35000","New Mexico",6,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",79611.3,78633.5,81356.0,81162.2,81922.4,79933.9,83436.7,85395.0,87199.4,86237.9,92327.5,94957.8,102930.3,110334.8,106485.7,107373.7,108899.9
 "36000","New York",2,SARPI,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",927731.0,919284.2,951036.5,968901.4,1004695.9,1002080.5,1032357.8,1068236.4,1089840.9,1144417.7,1164512.2,1188668.6,1231495.1,1271985.2,1223723.0,1245294.4,1274544.2
