GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "12540","Bakersfield-Delano, CA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",96.885,100.271,98.231,100.409,101.061,99.685,99.638,97.679,96.543,98.535,101.729,101.123,100.325,100.889,104.460,102.389,100.886
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",106.365,109.392,106.060,108.803,106.492,106.758,105.693,105.960,106.095,107.648,105.256,103.911,105.363,104.901,102.419,103.184,104.487
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",93.921,92.113,96.506,93.857,96.339,99.549,92.059,92.786,93.366,94.639,93.948,96.621,97.538,96.781,96.597,92.341,96.508
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",102.797,102.690,105.151,99.352,100.934,100.043,104.507,105.716,105.779,105.777,101.087,105.238,101.253,101.360,108.811,106.488,98.351
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",93.149,91.783,93.371,94.633,94.211,94.883,94.735,94.651,95.622,93.921,92.798,92.824,93.119,93.155,92.404,91.233,90.780
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",94.623,94.485,92.291,92.614,94.216,93.387,94.101,91.756,91.869,91.027,92.041,91.845,90.709,90.427,89.471,88.247,90.541
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",94.130,93.892,92.470,92.662,93.175,93.376,92.893,91.011,92.025,89.374,92.771,92.449,88.752,91.479,88.200,90.620,91.921
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",93.400,91.498,92.703,94.733,93.343,94.441,94.516,92.707,94.763,92.363,91.609,92.355,90.143,92.986,91.079,90.790,90.046
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",83.470,78.277,84.945,84.097,83.624,87.298,87.527,87.541,83.255,84.690,86.185,86.304,83.446,89.334,88.176,89.503,88.369
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",96.187,102.321,99.766,103.238,101.976,100.385,101.094,101.210,98.690,100.971,104.208,104.061,103.516,104.581,105.956,104.012,103.334
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.772,98.722,96.578,95.747,95.753,96.115,98.165,100.872,98.977,101.252,103.140,102.855,102.933,101.975,106.833,105.276,103.607
 "13740","Billings, MT (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",94.956,95.773,94.981,96.801,97.965,96.322,97.119,96.809,94.817,97.158,94.189,95.693,92.219,92.297,91.666,90.350,93.526
 "13780","Binghamton, NY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",97.040,96.963,97.789,97.484,94.927,95.921,94.794,95.893,96.073,97.813,96.082,93.869,96.934,94.350,92.150,92.090,92.863
 "13820","Birmingham, AL (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.687,91.451,93.268,94.277,93.674,93.885,93.244,93.148,94.053,92.832,90.052,90.901,91.379,90.424,91.027,91.765,91.644
 "13900","Bismarck, ND (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",90.029,92.030,88.697,89.610,95.239,95.949,96.761,93.645,95.966,91.115,91.415,94.182,92.624,94.143,91.058,89.354,91.024
 "13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",87.924,87.412,90.186,90.557,88.580,92.037,91.816,91.496,88.412,88.739,91.601,90.927,91.005,92.042,93.018,90.912,92.710
 "14010","Bloomington, IL (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",96.873,95.805,97.325,95.432,96.372,95.264,95.588,94.617,93.792,92.930,94.442,95.087,92.702,92.873,92.528,92.119,93.537
 "14020","Bloomington, IN (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",94.281,96.536,94.893,95.415,94.195,94.113,94.909,94.252,95.448,93.659,93.803,94.564,93.392,93.952,93.025,93.385,95.084
 "14260","Boise City, ID (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",95.250,97.727,95.538,96.966,96.662,96.375,95.919,94.868,93.154,95.864,93.596,95.704,93.649,93.752,94.215,94.244,98.391
 "14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",107.712,106.647,106.266,106.646,105.953,104.261,105.767,106.304,110.144,109.129,110.327,109.897,112.549,109.815,112.187,110.393,108.266
 "14500","Boulder, CO (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",108.521,105.585,104.494,107.144,107.486,105.814,106.334,106.842,105.612,105.308,101.659,105.455,101.700,100.872,99.939,100.614,105.202
 "14540","Bowling Green, KY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",86.638,84.745,88.464,87.823,88.660,89.987,89.327,88.929,87.338,87.812,87.882,88.858,89.440,88.605,89.337,89.854,90.179
 "14580","Bozeman, MT (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",98.805,95.776,95.107,96.456,97.066,94.085,96.939,99.064,97.452,98.859,97.251,99.511,96.484,95.805,94.760,99.007,102.510
 "14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",107.013,105.802,103.435,103.948,103.596,103.103,104.752,104.973,107.089,107.273,107.171,105.597,105.357,103.603,108.876,107.420,105.607
 "14860","Bridgeport-Stamford-Danbury, CT Metropolitan Statistical Area", ,MARPP,1,"...","RPPs: All items ","Index",117.032,117.656,113.363,113.996,113.859,114.897,115.228,113.648,113.800,111.943,107.255,106.217,108.600,106.215,109.939,107.011,106.864
 "15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",85.040,86.196,87.056,89.579,89.232,87.598,87.899,88.366,89.545,87.982,85.129,87.678,85.013,87.841,85.110,85.699,85.975
 "15260","Brunswick-St. Simons, GA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",88.220,86.347,89.743,88.777,89.944,89.816,90.965,89.553,89.204,89.192,91.734,86.716,88.970,90.092,91.426,89.877,87.708
 "15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",97.044,97.666,96.153,96.125,96.171,97.295,94.776,97.732,97.482,97.271,95.618,94.570,94.181,94.874,93.994,94.921,95.844
 "15500","Burlington, NC (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.501,91.873,92.495,93.466,93.312,93.846,92.707,93.188,92.183,92.184,91.415,90.430,89.724,89.406,92.019,92.954,93.196
