GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "12420","Austin-Round Rock-San Marcos, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.803,87.932,90.298,93.092,95.428,96.525,98.448,98.812,100.807,101.754,101.044,102.846,105.827,108.943,114.719,118.434,121.274
 "12540","Bakersfield-Delano, CA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.392,89.162,88.912,93.183,95.538,95.478,96.769,95.041,94.887,98.535,103.812,104.671,105.007,109.942,121.279,123.390,124.762
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",94.845,97.272,95.998,100.973,100.671,102.254,102.650,103.098,104.275,107.648,107.410,107.558,110.280,114.313,118.908,124.348,129.214
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.749,81.907,87.351,87.102,91.074,95.348,89.409,90.280,91.764,94.639,95.871,100.011,102.090,105.464,112.150,111.281,119.348
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",91.664,91.313,95.176,92.203,95.417,95.822,101.499,102.860,103.964,105.777,103.156,108.930,105.978,110.455,126.330,128.330,121.626
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.061,81.615,84.513,87.823,89.062,90.879,92.008,92.095,93.981,93.921,94.697,96.081,97.464,101.513,107.281,109.946,112.265
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.375,84.017,83.536,85.949,89.066,89.447,91.392,89.278,90.293,91.027,93.925,95.068,94.942,98.541,103.877,106.347,111.969
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.935,83.490,83.698,85.994,88.082,89.436,90.218,88.553,90.446,89.374,94.670,95.692,92.894,99.687,102.400,109.207,113.675
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",83.285,81.361,83.908,87.915,88.241,90.456,91.795,90.204,93.137,92.363,93.484,95.595,94.349,101.329,105.743,109.412,111.356
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",74.430,69.605,76.886,78.045,79.053,83.614,85.007,85.176,81.827,84.690,87.950,89.332,87.340,97.350,102.373,107.861,109.282
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",85.770,90.985,90.302,95.809,96.402,96.149,98.184,98.476,96.997,100.971,106.341,107.713,108.347,113.965,123.015,125.346,127.789
 "13460","Bend, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",88.966,87.785,87.416,88.857,90.520,92.060,95.339,98.147,97.279,101.252,105.252,106.464,107.736,111.125,124.033,126.869,128.127
 "13740","Billings, MT (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.672,85.162,85.971,89.835,92.610,92.257,94.323,94.194,93.190,97.158,96.117,99.050,96.523,100.578,106.424,108.882,115.660
 "13780","Binghamton, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.530,86.221,88.512,90.469,89.738,91.874,92.065,93.303,94.425,97.813,98.049,97.163,101.458,102.816,106.987,110.979,114.840
 "13820","Birmingham, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",82.649,81.319,84.420,87.493,88.554,89.924,90.559,90.632,92.439,92.832,91.895,94.091,95.643,98.537,105.683,110.587,113.333
 "13900","Bismarck, ND (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",80.279,81.834,80.283,83.161,90.033,91.901,93.975,91.116,94.320,91.115,93.286,97.486,96.946,102.590,105.718,107.681,112.566
 "13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",78.402,77.727,81.630,84.041,83.739,88.153,89.172,89.025,86.895,88.739,93.476,94.117,95.251,100.301,107.994,109.559,114.651
 "14010","Bloomington, IL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",86.381,85.191,88.092,88.565,91.104,91.245,92.836,92.061,92.183,92.930,96.376,98.424,97.028,101.206,107.425,111.013,115.674
 "14020","Bloomington, IN (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.070,85.841,85.891,88.548,89.046,90.142,92.176,91.706,93.811,93.659,95.723,97.882,97.750,102.382,108.003,112.539,117.586
 "14260","Boise City, ID (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",84.934,86.900,86.475,89.988,91.379,92.309,93.158,92.306,91.556,95.864,95.512,99.062,98.019,102.164,109.385,113.574,121.676
 "14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",96.046,94.831,96.185,98.972,100.161,99.862,102.722,103.433,108.254,109.129,112.586,113.753,117.801,119.669,130.249,133.035,133.888
 "14500","Boulder, CO (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator ","Index",96.768,93.887,94.581,99.434,101.611,101.349,103.273,103.957,103.800,105.308,103.740,109.155,106.446,109.923,116.030,121.250,130.099
