GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",90.267,91.637,91.220,94.855,96.034,95.627,96.329,95.929,95.524,99.854,98.196,102.306,101.727,103.912,111.849,117.933,123.640
 "33000","New Hampshire",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",94.620,93.500,94.158,96.016,97.295,98.453,99.152,101.172,103.293,105.780,105.669,107.650,110.181,111.770,125.211,127.010,128.817
 "34000","New Jersey",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",95.916,98.675,98.475,101.361,103.301,104.238,105.893,106.029,107.188,109.298,113.292,115.090,115.889,118.951,126.270,131.286,134.555
 "35000","New Mexico",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.810,85.328,85.544,90.092,91.197,91.541,92.723,92.820,92.840,95.721,93.532,96.231,96.090,97.786,105.569,109.642,114.035
 "36000","New York",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",99.298,98.699,99.333,102.862,103.632,105.094,105.719,106.623,108.197,109.988,111.749,113.266,115.269,119.395,124.875,129.961,133.461
 "37000","North Carolina",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",82.436,81.151,84.086,86.838,88.398,89.777,91.125,91.060,92.192,93.025,94.796,95.090,95.608,102.144,109.150,113.760,116.650
 "38000","North Dakota",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",76.589,78.119,80.633,83.104,86.968,88.333,89.788,88.604,90.017,88.664,93.034,96.461,96.100,99.123,102.984,106.259,110.012
 "39000","Ohio",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",82.510,83.135,84.272,85.557,87.930,89.325,90.341,89.728,90.749,91.931,94.889,96.562,96.225,100.498,106.239,110.753,114.729
 "40000","Oklahoma",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",79.839,78.657,81.970,84.391,86.245,87.665,89.182,88.902,89.944,90.881,91.482,92.466,93.813,97.947,103.106,106.869,108.632
 "41000","Oregon",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",87.209,89.163,89.997,92.608,95.598,95.948,96.873,98.388,97.884,101.474,106.799,107.454,108.061,112.405,123.777,126.310,127.822
 "42000","Pennsylvania",2,SAIRPD,1,"...","Implicit regional price deflator ","Index",88.415,88.466,89.555,91.353,92.647,93.708,94.409,95.496,96.089,99.102,100.160,101.416,102.277,104.771,111.754,117.378,120.664
 "44000","Rhode Island",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.382,92.420,92.145,93.835,94.384,97.166,97.374,99.259,99.847,102.403,104.121,105.982,106.520,111.358,121.271,122.999,126.485
 "45000","South Carolina",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.995,80.916,83.873,86.477,88.287,89.362,90.547,90.800,92.029,92.840,94.132,94.700,95.113,102.010,108.370,112.649,115.936
 "46000","South Dakota",4,SAIRPD,1,"...","Implicit regional price deflator ","Index",75.810,76.527,80.382,80.992,85.399,86.375,86.784,85.428,85.784,87.223,93.073,95.040,95.582,98.190,101.996,106.230,109.551
 "47000","Tennessee",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",81.766,80.469,83.594,86.206,88.299,89.070,90.113,90.305,92.201,93.040,91.485,94.464,94.725,98.707,106.580,110.983,113.612
 "48000","Texas",6,SAIRPD,1,"...","Implicit regional price deflator ","Index",86.555,86.002,88.400,90.007,92.373,93.993,95.603,95.636,96.396,97.435,99.807,101.963,103.367,107.231,113.095,117.064,120.026
 "49000","Utah",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",86.475,88.954,88.061,92.630,93.978,94.427,95.118,94.999,95.425,98.721,97.983,100.658,99.704,102.959,109.819,115.348,122.261
 "50000","Vermont",1,SAIRPD,1,"...","Implicit regional price deflator ","Index",89.781,90.179,89.952,91.977,94.516,96.187,95.118,97.327,96.539,100.337,102.255,103.099,106.898,107.549,117.300,117.067,121.140
 "51000","Virginia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",92.027,91.078,93.884,95.982,96.892,99.155,100.475,100.773,101.014,101.222,104.044,103.564,105.716,111.479,118.452,122.115,125.031
 "53000","Washington",8,SAIRPD,1,"...","Implicit regional price deflator ","Index",93.172,93.039,92.995,95.814,96.936,98.158,100.928,101.580,103.749,107.035,109.317,111.759,112.892,118.566,127.751,130.597,132.339
 "54000","West Virginia",5,SAIRPD,1,"...","Implicit regional price deflator ","Index",78.145,77.054,80.475,82.869,84.430,86.439,87.277,88.112,88.264,88.966,91.241,91.624,91.409,99.145,103.512,108.017,110.678
 "55000","Wisconsin",3,SAIRPD,1,"...","Implicit regional price deflator ","Index",83.069,83.689,85.737,86.996,89.157,89.928,91.098,90.768,91.575,93.531,95.953,97.791,96.990,101.681,107.278,112.341,116.364
 "56000","Wyoming",7,SAIRPD,1,"...","Implicit regional price deflator ","Index",84.971,85.914,86.416,90.593,91.003,93.239,94.600,94.322,96.070,97.146,94.263,97.409,96.121,99.644,106.542,110.329,114.628
"Note: See the included footnote file."
"SAIRPD: Implicit regional price deflators by state "
"Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
"U.S. Bureau of Economic Analysis"
